Country	PD_deficit	S	Present
Mali	0.45340342	138	94
South Sudan	0.381912594	69	51
Uganda	0.611362604	251	64
Burkina Faso	0.420723193	118	78
Niger	0.385235933	106	76
Central Afr. Rp	0.547115759	182	112
Chatham Is.	0.749066449	5	2
Amsterdam I.	0.457004324	34	23
St Paul I.	0.467062726	33	22
Tristan da Cunha	0.47367841	28	19
Macquarie Is.	0.18099416	15	11
Desventuradas Is	0.656481596	39	13
Swaziland	0.284845284	48	28
Jan Mayen I.	0	1	1
Pac Is Trust Tr	0.00138225	26	24
St Maarten (NL)	0	4	4
St Martin (FR)	0.158063209	5	4
Bouvet I.	0	13	13
US Misc Pac	0.005988075	8	7
Terre Adélie	0.270980121	15	14
Lesotho	0.611589257	7	4
Botswana	0.641862099	80	44
Br Indian Oc Tr	0.22239918	33	30
Europa I.	0	1	1
Glorieuses Is.	0	2	2
Juan de Nova I.	0	2	2
Elephant I.	0	9	9
Heard McDon Is.	0	26	26
Prince Edward Is	0.300433494	12	10
Balleny Is.	0	6	6
Kyrgyzstan	0.747464885	19	7
Bon. Eust. Saba	0.158328334	6	5
Tajikistan	1	4	0
Scott I.	0	4	4
Peter I I.	0.013617203	5	4
