"grids","species"
"Owens","Cyprinus carpio"
"Prespa","Cyprinus carpio"
"Qinghai","Cyprinus carpio"
"Quinn","Cyprinus carpio"
"Quinto","Cyprinus carpio"
"Reedy.lake","Cyprinus carpio"
"Round.lake","Cyprinus carpio"
"Ruoshui","Cyprinus carpio"
"Salina.del.Bebedero","Cyprinus carpio"
"Salina.Grandes","Cyprinus carpio"
"Shule","Cyprinus carpio"
"Syr.Darya","Cyprinus carpio"
"Trial.Well","Cyprinus carpio"
"Truckee","Cyprinus carpio"
"Valle.de.Mexico","Cyprinus carpio"
"Victoria.lake","Cyprinus carpio"
"Walker.USA","Cyprinus carpio"
"Whitewater","Cyprinus carpio"
"Bear.river","Cyprinus rubrofuscus"
"Laguna.Las.Tunas.Grandes","Cyprinus rubrofuscus"
"Mar.Chiquita","Cyprinus rubrofuscus"
"Mojave","Cyprinus rubrofuscus"
"Salina.del.Bebedero","Cyprinus rubrofuscus"
"Whitewater","Cyprinus rubrofuscus"
"Lake.Eyre.Basin","Diodon hystrix"
"Loukos","Diplodus vulgaris"
"Bear.river","Dorosoma cepedianum"
"Qinghai","Dorosoma cepedianum"
"Ruoshui","Dorosoma cepedianum"
"Shule","Dorosoma cepedianum"
"Whitewater","Dorosoma cepedianum"
"Antelope.Wash","Dorosoma petenense"
"Whitewater","Dorosoma petenense"
"Lake.Eyre.Basin","Drepane punctata"
"Amu.Darya","Dzihunia amudarjensis"
"Lake.Eyre.Basin","Echeneis naucrates"
"Chilwa","Engraulicypris brevianalis"
"Etosha.Pan","Engraulicypris brevianalis"
"Edward","Enteromius apleurogramma"
"George.lake","Enteromius apleurogramma"
"Kivu","Enteromius apleurogramma"
"Kyoga","Enteromius apleurogramma"
"Lake.Albert","Enteromius apleurogramma"
"Lake.Bunyonyi","Enteromius apleurogramma"
"Lake.Rukwa","Enteromius apleurogramma"
"Tanganyika","Enteromius apleurogramma"
"Victoria.lake","Enteromius apleurogramma"
"Chilwa","Enteromius kerstenii"
"Edward","Enteromius kerstenii"
"George.lake","Enteromius kerstenii"
"Kivu","Enteromius kerstenii"
"Kyoga","Enteromius kerstenii"
"Lake.Albert","Enteromius kerstenii"
"Lake.Bunyonyi","Enteromius kerstenii"
