"s" "f" "o" "insertions"
"311" "Acheilognathus_imberbis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"312" "Acheilognathus_imfasciodorsalis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"313" "Acheilognathus_intermedia" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"314" "Acheilognathus_kyphus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"315" "Acheilognathus_longibarbatus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"316" "Acheilognathus_longipinnis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"317" "Acheilognathus_macromandibularis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"318" "Acheilognathus_macropterus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"319" "Acheilognathus_majusculus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"320" "Acheilognathus_melanogaster" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"321" "Acheilognathus_meridianus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"322" "Acheilognathus_microphysa" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"323" "Acheilognathus_nguyenvanhaoi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"324" "Acheilognathus_omeiensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"325" "Acheilognathus_peihoensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"326" "Acheilognathus_polylepis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"327" "Acheilognathus_polyspinus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"328" "Acheilognathus_rhombeus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"329" "Acheilognathus_striatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"330" "Acheilognathus_tabira" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"331" "Acheilognathus_taenianalis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"332" "Acheilognathus_tonkinensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"333" "Acheilognathus_typus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"334" "Acheilognathus_yamatsutae" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"335" "Achiroides_leucorhynchos" "Soleidae" "Pleuronectiformes" "Family_insertion"
"336" "Achiroides_melanorhynchus" "Soleidae" "Pleuronectiformes" "Congeneric_Family_level"
"338" "Achirus_achirus" "Achiridae" "Pleuronectiformes" "Congeneric_insertion"
"342" "Achirus_mazatlanus" "Achiridae" "Pleuronectiformes" "Congeneric_insertion"
"344" "Achirus_novoae" "Achiridae" "Pleuronectiformes" "Congeneric_insertion"
"349" "Achondrostoma_arcasii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"350" "Achondrostoma_occidentale" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"351" "Achondrostoma_oligolepis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"352" "Achondrostoma_salmantinum" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"353" "Acinocheirodon_melanogramma" "Characidae" "Characiformes" "Present_in_Tree"
"354" "Acipenser_baerii" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"355" "Acipenser_brevirostrum" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"356" "Acipenser_dabryanus" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"357" "Acipenser_fulvescens" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"358" "Acipenser_gueldenstaedtii" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"359" "Acipenser_medirostris" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"360" "Acipenser_mikadoi" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"361" "Acipenser_naccarii" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"362" "Acipenser_nudiventris" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"363" "Acipenser_oxyrinchus" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"364" "Acipenser_persicus" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"365" "Acipenser_ruthenus" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"366" "Acipenser_schrenckii" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"367" "Acipenser_sinensis" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"368" "Acipenser_stellatus" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"369" "Acipenser_sturio" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"370" "Acipenser_transmontanus" "Acipenseridae" "Acipenseriformes" "Present_in_Tree"
"371" "Acnodon_normani" "Serrasalmidae" "Characiformes" "Family_insertion"
"372" "Acnodon_oligacanthus" "Serrasalmidae" "Characiformes" "Congeneric_Family_level"
"373" "Acnodon_senai" "Serrasalmidae" "Characiformes" "Congeneric_Family_level"
"377" "Acrobrycon_ipanquianus" "Characidae" "Characiformes" "Family_insertion"
"378" "Acrobrycon_ortii" "Characidae" "Characiformes" "Congeneric_Family_level"
"379" "Acrobrycon_starnesi" "Characidae" "Characiformes" "Congeneric_Family_level"
"380" "Acrocheilus_alutaceus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"381" "Acrochordonichthys_chamaeleon" "Akysidae" "Siluriformes" "Congeneric_insertion"
"382" "Acrochordonichthys_falcifer" "Akysidae" "Siluriformes" "Congeneric_insertion"
"383" "Acrochordonichthys_guttatus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"384" "Acrochordonichthys_gyrinus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"385" "Acrochordonichthys_ischnosoma" "Akysidae" "Siluriformes" "Congeneric_insertion"
"386" "Acrochordonichthys_mahakamensis" "Akysidae" "Siluriformes" "Congeneric_insertion"
"387" "Acrochordonichthys_pachyderma" "Akysidae" "Siluriformes" "Congeneric_insertion"
"388" "Acrochordonichthys_rugosus" "Akysidae" "Siluriformes" "Present_in_Tree"
"389" "Acrochordonichthys_septentrionalis" "Akysidae" "Siluriformes" "Congeneric_insertion"
"390" "Acrochordonichthys_strigosus" "Akysidae" "Siluriformes" "Congeneric_insertion"
"402" "Acrossocheilus_aluoiensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"403" "Acrossocheilus_baolacensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"404" "Acrossocheilus_beijiangensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"405" "Acrossocheilus_clivosius" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"406" "Acrossocheilus_fasciatus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"407" "Acrossocheilus_hemispinus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"408" "Acrossocheilus_ikedai" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"409" "Acrossocheilus_iridescens" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"410" "Acrossocheilus_jishouensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"411" "Acrossocheilus_kreyenbergii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"412" "Acrossocheilus_lamus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"413" "Acrossocheilus_longipinnis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"414" "Acrossocheilus_macrophthalmus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"415" "Acrossocheilus_malacopterus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"416" "Acrossocheilus_microstoma" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"417" "Acrossocheilus_monticola" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"418" "Acrossocheilus_multistriatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
