"s" "f" "o" "insertions"
"15593" "Hypoptopoma_machadoi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15594" "Hypoptopoma_muzuspi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15595" "Hypoptopoma_psilogaster" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15596" "Hypoptopoma_steindachneri" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15597" "Hypoptopoma_thoracatum" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15599" "Hypopygus_benoneae" "Hypopomidae" "Gymnotiformes" "Family_insertion"
"15600" "Hypopygus_hoedemani" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15601" "Hypopygus_isbruckeri" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15602" "Hypopygus_lepturus" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15603" "Hypopygus_minissimus" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15604" "Hypopygus_neblinae" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15605" "Hypopygus_nijsseni" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15606" "Hypopygus_ortegai" "Hypopomidae" "Gymnotiformes" "Congeneric_Family_level"
"15611" "Hyporhamphus_brederi" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15612" "Hyporhamphus_capensis" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15621" "Hyporhamphus_intermedius" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15622" "Hyporhamphus_limbatus" "Hemiramphidae" "Beloniformes" "Present_in_Tree"
"15623" "Hyporhamphus_meeki" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15626" "Hyporhamphus_mexicanus" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15633" "Hyporhamphus_quoyi" "Hemiramphidae" "Beloniformes" "Present_in_Tree"
"15634" "Hyporhamphus_regularis" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15637" "Hyporhamphus_rosae" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15638" "Hyporhamphus_sajori" "Hemiramphidae" "Beloniformes" "Present_in_Tree"
"15641" "Hyporhamphus_taiwanensis" "Hemiramphidae" "Beloniformes" "Congeneric_insertion"
"15644" "Hyporhamphus_xanthopterus" "Hemiramphidae" "Beloniformes" "Present_in_Tree"
"15659" "Hypostomus_affinis" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15660" "Hypostomus_agna" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15661" "Hypostomus_alatus" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15662" "Hypostomus_albopunctatus" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15663" "Hypostomus_ancistroides" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15664" "Hypostomus_angipinnatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15665" "Hypostomus_annectens" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15666" "Hypostomus_arecuta" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15667" "Hypostomus_argus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15668" "Hypostomus_asperatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15669" "Hypostomus_aspilogaster" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15670" "Hypostomus_atropinnis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15671" "Hypostomus_auroguttatus" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15672" "Hypostomus_basilisko" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15673" "Hypostomus_bolivianus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15674" "Hypostomus_borellii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15675" "Hypostomus_boulengeri" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15676" "Hypostomus_brevicauda" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15677" "Hypostomus_brevis" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15678" "Hypostomus_careopinnatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15679" "Hypostomus_carinatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15680" "Hypostomus_carvalhoi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15681" "Hypostomus_chrysostiktos" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15682" "Hypostomus_cochliodon" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15683" "Hypostomus_commersoni" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15685" "Hypostomus_coppenamensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15686" "Hypostomus_corantijni" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15687" "Hypostomus_crassicauda" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15688" "Hypostomus_dardanelos" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15689" "Hypostomus_delimai" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15690" "Hypostomus_denticulatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15691" "Hypostomus_derbyi" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15692" "Hypostomus_dlouhyi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15693" "Hypostomus_eptingi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15694" "Hypostomus_ericae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15695" "Hypostomus_ericius" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15696" "Hypostomus_faveolus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15697" "Hypostomus_fluviatilis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15698" "Hypostomus_fonchii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15699" "Hypostomus_francisci" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15700" "Hypostomus_garmani" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15701" "Hypostomus_goyazensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15702" "Hypostomus_gymnorhynchus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15703" "Hypostomus_hemicochliodon" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15704" "Hypostomus_hemiurus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15705" "Hypostomus_heraldoi" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15706" "Hypostomus_hermanni" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15707" "Hypostomus_holostictus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15708" "Hypostomus_hondae" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15709" "Hypostomus_hoplonites" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15710" "Hypostomus_iheringii" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15711" "Hypostomus_interruptus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15712" "Hypostomus_isbrueckeri" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15713" "Hypostomus_itacua" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15714" "Hypostomus_jaguar" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15715" "Hypostomus_jaguribensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15716" "Hypostomus_johnii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15717" "Hypostomus_khimaera" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15718" "Hypostomus_kopeyaka" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15719" "Hypostomus_kuarup" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15720" "Hypostomus_laplatae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15721" "Hypostomus_latifrons" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15722" "Hypostomus_latirostris" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15723" "Hypostomus_leucophaeus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15724" "Hypostomus_levis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15725" "Hypostomus_lexi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15726" "Hypostomus_lima" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15728" "Hypostomus_longiradiatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15729" "Hypostomus_luetkeni" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15730" "Hypostomus_luteomaculatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15731" "Hypostomus_luteus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15732" "Hypostomus_macrophthalmus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15733" "Hypostomus_macrops" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15734" "Hypostomus_macushi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15735" "Hypostomus_margaritifer" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15736" "Hypostomus_melanephelis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15737" "Hypostomus_meleagris" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15738" "Hypostomus_micromaculatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15739" "Hypostomus_microstomus" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15740" "Hypostomus_multidens" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15741" "Hypostomus_mutucae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15742" "Hypostomus_myersi" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15743" "Hypostomus_nematopterus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15744" "Hypostomus_niceforoi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15745" "Hypostomus_nickeriensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15746" "Hypostomus_niger" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15747" "Hypostomus_nigromaculatus" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15748" "Hypostomus_nigropunctatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15749" "Hypostomus_nudiventris" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15750" "Hypostomus_obtusirostris" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15751" "Hypostomus_occidentalis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15752" "Hypostomus_oculeus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15753" "Hypostomus_pagei" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15754" "Hypostomus_pantherinus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15755" "Hypostomus_papariae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15756" "Hypostomus_paranensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15757" "Hypostomus_paucimaculatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15758" "Hypostomus_paucipunctatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15759" "Hypostomus_paulinus" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15760" "Hypostomus_peckoltoides" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15761" "Hypostomus_perdido" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15762" "Hypostomus_piratatu" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15763" "Hypostomus_plecostomoides" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15764" "Hypostomus_plecostomus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15765" "Hypostomus_pospisili" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15766" "Hypostomus_pseudohemiurus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15767" "Hypostomus_punctatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15768" "Hypostomus_pusarum" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15769" "Hypostomus_pyrineusi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15770" "Hypostomus_regani" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15771" "Hypostomus_rhantos" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15772" "Hypostomus_robinii" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15773" "Hypostomus_rondoni" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15774" "Hypostomus_roseopunctatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15775" "Hypostomus_saramaccensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15776" "Hypostomus_scabriceps" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15777" "Hypostomus_scaphyceps" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15778" "Hypostomus_sculpodon" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15779" "Hypostomus_seminudus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15780" "Hypostomus_simios" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15781" "Hypostomus_sipaliwinii" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15782" "Hypostomus_soniae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15783" "Hypostomus_strigaticeps" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15784" "Hypostomus_subcarinatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15785" "Hypostomus_surinamensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15786" "Hypostomus_tapanahoniensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15787" "Hypostomus_taphorni" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15788" "Hypostomus_tapijara" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15789" "Hypostomus_ternetzi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15790" "Hypostomus_tietensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15791" "Hypostomus_topavae" "Loricariidae" "Siluriformes" "Present_in_Tree"
"15792" "Hypostomus_unae" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15793" "Hypostomus_uruguayensis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15794" "Hypostomus_vaillanti" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15795" "Hypostomus_variipictus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15796" "Hypostomus_varimaculosus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15797" "Hypostomus_variostictus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15798" "Hypostomus_ventromaculatus" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15799" "Hypostomus_vermicularis" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15800" "Hypostomus_waiampi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15801" "Hypostomus_watwata" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15802" "Hypostomus_weberi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15803" "Hypostomus_wilsoni" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15804" "Hypostomus_winzi" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15805" "Hypostomus_wuchereri" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15806" "Hypostomus_yaku" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"15809" "Hypselecara_coryphaenoides" "Cichlidae" "Cichliformes" "Present_in_Tree"
"15810" "Hypselecara_temporalis" "Cichlidae" "Cichliformes" "Present_in_Tree"
"15811" "Hypseleotris_aurea" "Eleotridae" "Gobiiformes" "Present_in_Tree"
"15812" "Hypseleotris_barrawayi" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15813" "Hypseleotris_compressa" "Eleotridae" "Gobiiformes" "Present_in_Tree"
"15814" "Hypseleotris_compressocephalus" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15815" "Hypseleotris_cyprinoides" "Eleotridae" "Gobiiformes" "Present_in_Tree"
"15816" "Hypseleotris_ejuncida" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15817" "Hypseleotris_everetti" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15818" "Hypseleotris_galii" "Eleotridae" "Gobiiformes" "Present_in_Tree"
"15819" "Hypseleotris_guentheri" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15820" "Hypseleotris_kimberleyensis" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15821" "Hypseleotris_klunzingeri" "Eleotridae" "Gobiiformes" "Present_in_Tree"
"15823" "Hypseleotris_pangel" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15824" "Hypseleotris_regalis" "Eleotridae" "Gobiiformes" "Congeneric_insertion"
"15825" "Hypseleotris_tohizonae" "Eleotridae" "Gobiiformes" "Present_in_Tree"
"15826" "Hypselobarbus_curmuca" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15827" "Hypselobarbus_dobsoni" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15828" "Hypselobarbus_dubius" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15829" "Hypselobarbus_gracilis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15830" "Hypselobarbus_jerdoni" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15831" "Hypselobarbus_keralaensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15832" "Hypselobarbus_kolus" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15833" "Hypselobarbus_kurali" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15834" "Hypselobarbus_kushavali" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15835" "Hypselobarbus_lithopidos" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15836" "Hypselobarbus_menoni" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15837" "Hypselobarbus_micropogon" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15838" "Hypselobarbus_mussullah" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15839" "Hypselobarbus_nilgiriensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15840" "Hypselobarbus_periyarensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15841" "Hypselobarbus_pseudomussullah" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15842" "Hypselobarbus_pulchellus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15843" "Hypselobarbus_tamiraparaniei" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15844" "Hypselobarbus_thomassi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15845" "Hypselobarbus_vaigaiensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15848" "Hypsibarbus_annamensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15849" "Hypsibarbus_lagleri" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15850" "Hypsibarbus_macrosquamatus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15851" "Hypsibarbus_malcolmi" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15852" "Hypsibarbus_myitkyinae" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15853" "Hypsibarbus_oatesii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15854" "Hypsibarbus_pierrei" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15855" "Hypsibarbus_salweenensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15856" "Hypsibarbus_suvattii" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"15857" "Hypsibarbus_vernayi" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15858" "Hypsibarbus_wetmorei" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15869" "Hypsoblennius_maculipinna" "Blenniidae" "Perciformes" "Congeneric_insertion"
"15875" "Hypsolebias_adornatus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15876" "Hypsolebias_antenori" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15877" "Hypsolebias_auratus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15878" "Hypsolebias_brunoi" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15879" "Hypsolebias_caeruleus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15880" "Hypsolebias_carlettoi" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15881" "Hypsolebias_coamazonicus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15882" "Hypsolebias_flagellatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15883" "Hypsolebias_flammeus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15884" "Hypsolebias_flavicaudatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15885" "Hypsolebias_fulminantis" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15886" "Hypsolebias_ghisolfii" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15887" "Hypsolebias_gilbertobrasili" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15888" "Hypsolebias_guanambi" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15889" "Hypsolebias_harmonicus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15890" "Hypsolebias_hellneri" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15891" "Hypsolebias_igneus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15892" "Hypsolebias_janaubensis" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15893" "Hypsolebias_longignatus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15894" "Hypsolebias_lopesi" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15895" "Hypsolebias_macaubensis" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15896" "Hypsolebias_magnificus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15897" "Hypsolebias_mediopapillatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15898" "Hypsolebias_nitens" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15899" "Hypsolebias_notatus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15900" "Hypsolebias_nudiorbitatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15901" "Hypsolebias_picturatus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15902" "Hypsolebias_pterophyllus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15903" "Hypsolebias_radiosus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15904" "Hypsolebias_radiseriatus" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15905" "Hypsolebias_sertanejo" "Rivulidae" "Cyprinodontiformes" "Present_in_Tree"
"15906" "Hypsolebias_shibattai" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15907" "Hypsolebias_tocantinensis" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15908" "Hypsolebias_trifasciatus" "Rivulidae" "Cyprinodontiformes" "Congeneric_insertion"
"15909" "Hypsopanchax_catenatus" "Poeciliidae" "Cyprinodontiformes" "Family_insertion"
"15910" "Hypsopanchax_jobaerti" "Poeciliidae" "Cyprinodontiformes" "Congeneric_Family_level"
"15911" "Hypsopanchax_jubbi" "Poeciliidae" "Cyprinodontiformes" "Congeneric_Family_level"
"15912" "Hypsopanchax_platysternus" "Poeciliidae" "Cyprinodontiformes" "Congeneric_Family_level"
"15913" "Hypsopanchax_stiassnyae" "Poeciliidae" "Cyprinodontiformes" "Congeneric_Family_level"
"15914" "Hypsopanchax_zebra" "Poeciliidae" "Cyprinodontiformes" "Congeneric_Family_level"
"15915" "Hypsophrys_nematopus" "Cichlidae" "Cichliformes" "Present_in_Tree"
"15916" "Hypsophrys_nicaraguensis" "Cichlidae" "Cichliformes" "Present_in_Tree"
"15921" "Hyrcanogobius_bergi" "Gobiidae" "Gobiiformes" "Family_insertion"
"15922" "Hysterocarpus_traskii" "Embiotocidae" "Perciformes" "Congeneric_insertion"
"15923" "Hysteronotus_megalostomus" "Characidae" "Characiformes" "Family_insertion"
"15926" "Iberochondrostoma_almacai" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15927" "Iberochondrostoma_lemmingii" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15928" "Iberochondrostoma_lusitanicum" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15930" "Iberochondrostoma_oretanum" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15931" "Iberocypris_palaciosi" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"15966" "Ichthyborus_besse" "Distichodontidae" "Characiformes" "Family_insertion"
"15967" "Ichthyborus_congolensis" "Distichodontidae" "Characiformes" "Congeneric_Family_level"
"15968" "Ichthyborus_monodi" "Distichodontidae" "Characiformes" "Congeneric_Family_level"
"15969" "Ichthyborus_ornatus" "Distichodontidae" "Characiformes" "Congeneric_Family_level"
"15970" "Ichthyborus_quadrilineatus" "Distichodontidae" "Characiformes" "Congeneric_Family_level"
"15972" "Ichthyocampus_carce" "Syngnathidae" "Syngnathiformes" "Family_insertion"
"15980" "Ichthyoelephas_humeralis" "Prochilodontidae" "Characiformes" "Family_insertion"
"15981" "Ichthyoelephas_longirostris" "Prochilodontidae" "Characiformes" "Congeneric_Family_level"
"15999" "Ictalurus_australis" "Ictaluridae" "Siluriformes" "Congeneric_insertion"
"16000" "Ictalurus_balsanus" "Ictaluridae" "Siluriformes" "Congeneric_insertion"
"16001" "Ictalurus_dugesii" "Ictaluridae" "Siluriformes" "Congeneric_insertion"
"16002" "Ictalurus_furcatus" "Ictaluridae" "Siluriformes" "Present_in_Tree"
"16003" "Ictalurus_lupus" "Ictaluridae" "Siluriformes" "Present_in_Tree"
"16004" "Ictalurus_meridionalis" "Ictaluridae" "Siluriformes" "Congeneric_insertion"
"16005" "Ictalurus_mexicanus" "Ictaluridae" "Siluriformes" "Congeneric_insertion"
"16006" "Ictalurus_ochoterenai" "Ictaluridae" "Siluriformes" "Congeneric_insertion"
"16007" "Ictalurus_pricei" "Ictaluridae" "Siluriformes" "Present_in_Tree"
"16008" "Ictalurus_punctatus" "Ictaluridae" "Siluriformes" "Present_in_Tree"
"16009" "Ictiobus_bubalus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"16010" "Ictiobus_cyprinellus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"16011" "Ictiobus_labiosus" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"16012" "Ictiobus_meridionalis" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"16013" "Ictiobus_niger" "Catostomidae" "Cypriniformes" "Present_in_Tree"
"16025" "Iguanodectes_adujai" "Iguanodectidae" "Characiformes" "Congeneric_insertion"
"16026" "Iguanodectes_geisleri" "Iguanodectidae" "Characiformes" "Present_in_Tree"
"16027" "Iguanodectes_gracilis" "Iguanodectidae" "Characiformes" "Congeneric_insertion"
"16028" "Iguanodectes_polylepis" "Iguanodectidae" "Characiformes" "Congeneric_insertion"
"16029" "Iguanodectes_purusii" "Iguanodectidae" "Characiformes" "Congeneric_insertion"
