"s" "f" "o"
"178" "Acanthopsoides_robertsi" "Cobitidae" "Cypriniformes"
"179" "Acanthorhodeus_chankaensis" "Cyprinidae" "Cypriniformes"
"180" "Acanthosphex_leurynnis" "Aploactinidae" "Perciformes"
"181" "Acanthostracion_guineensis" "Ostraciidae" "Tetraodontiformes"
"182" "Acanthostracion_notacanthus" "Ostraciidae" "Tetraodontiformes"
"183" "Acanthostracion_polygonius" "Ostraciidae" "Tetraodontiformes"
"184" "Acanthostracion_quadricornis" "Ostraciidae" "Tetraodontiformes"
"185" "Acanthurus_achilles" "Acanthuridae" "Perciformes"
"186" "Acanthurus_albimento" "Acanthuridae" "Perciformes"
"187" "Acanthurus_albipectoralis" "Acanthuridae" "Perciformes"
"188" "Acanthurus_auranticavus" "Acanthuridae" "Perciformes"
"189" "Acanthurus_bahianus" "Acanthuridae" "Perciformes"
"190" "Acanthurus_bariene" "Acanthuridae" "Perciformes"
"191" "Acanthurus_blochii" "Acanthuridae" "Perciformes"
"192" "Acanthurus_chirurgus" "Acanthuridae" "Perciformes"
"193" "Acanthurus_chronixis" "Acanthuridae" "Perciformes"
"194" "Acanthurus_coeruleus" "Acanthuridae" "Perciformes"
"195" "Acanthurus_dussumieri" "Acanthuridae" "Perciformes"
"196" "Acanthurus_fowleri" "Acanthuridae" "Perciformes"
"197" "Acanthurus_gahhm" "Acanthuridae" "Perciformes"
"198" "Acanthurus_grammoptilus" "Acanthuridae" "Perciformes"
"199" "Acanthurus_guttatus" "Acanthuridae" "Perciformes"
"200" "Acanthurus_japonicus" "Acanthuridae" "Perciformes"
"201" "Acanthurus_leucocheilus" "Acanthuridae" "Perciformes"
"202" "Acanthurus_leucopareius" "Acanthuridae" "Perciformes"
"203" "Acanthurus_leucosternon" "Acanthuridae" "Perciformes"
"204" "Acanthurus_lineatus" "Acanthuridae" "Perciformes"
"205" "Acanthurus_maculiceps" "Acanthuridae" "Perciformes"
"206" "Acanthurus_mata" "Acanthuridae" "Perciformes"
"207" "Acanthurus_monroviae" "Acanthuridae" "Perciformes"
"208" "Acanthurus_nigricans" "Acanthuridae" "Perciformes"
"209" "Acanthurus_nigricauda" "Acanthuridae" "Perciformes"
"210" "Acanthurus_nigrofuscus" "Acanthuridae" "Perciformes"
"211" "Acanthurus_nigroris" "Acanthuridae" "Perciformes"
"212" "Acanthurus_nubilus" "Acanthuridae" "Perciformes"
"213" "Acanthurus_olivaceus" "Acanthuridae" "Perciformes"
"214" "Acanthurus_polyzona" "Acanthuridae" "Perciformes"
"215" "Acanthurus_pyroferus" "Acanthuridae" "Perciformes"
"216" "Acanthurus_randalli" "Acanthuridae" "Perciformes"
"217" "Acanthurus_reversus" "Acanthuridae" "Perciformes"
"218" "Acanthurus_sohal" "Acanthuridae" "Perciformes"
"219" "Acanthurus_tennentii" "Acanthuridae" "Perciformes"
"220" "Acanthurus_thompsoni" "Acanthuridae" "Perciformes"
"221" "Acanthurus_tractus" "Acanthuridae" "Perciformes"
"222" "Acanthurus_triostegus" "Acanthuridae" "Perciformes"
