"s" "f" "o"
"16988" "Lagocephalus_guentheri" "Tetraodontidae" "Tetraodontiformes"
"16989" "Lagocephalus_inermis" "Tetraodontidae" "Tetraodontiformes"
"16990" "Lagocephalus_laevigatus" "Tetraodontidae" "Tetraodontiformes"
"16991" "Lagocephalus_lagocephalus" "Tetraodontidae" "Tetraodontiformes"
"16992" "Lagocephalus_lunaris" "Tetraodontidae" "Tetraodontiformes"
"16993" "Lagocephalus_sceleratus" "Tetraodontidae" "Tetraodontiformes"
"16994" "Lagocephalus_spadiceus" "Tetraodontidae" "Tetraodontiformes"
"16995" "Lagocephalus_suezensis" "Tetraodontidae" "Tetraodontiformes"
"16996" "Lagocephalus_wheeleri" "Tetraodontidae" "Tetraodontiformes"
"16997" "Lagodon_rhomboides" "Sparidae" "Spariformes"
"16998" "Lagusia_micracanthus" "Terapontidae" "Centrarchiformes"
"16999" "Laides_hexanema" "Schilbeidae" "Siluriformes"
"17000" "Laides_longibarbis" "Schilbeidae" "Siluriformes"
"17001" "Laimosemion_agilae" "Rivulidae" "Cyprinodontiformes"
"17002" "Laimosemion_altivelis" "Rivulidae" "Cyprinodontiformes"
"17003" "Laimosemion_amanapira" "Rivulidae" "Cyprinodontiformes"
"17004" "Laimosemion_breviceps" "Rivulidae" "Cyprinodontiformes"
"17005" "Laimosemion_cladophorus" "Rivulidae" "Cyprinodontiformes"
"17006" "Laimosemion_corpulentus" "Rivulidae" "Cyprinodontiformes"
"17007" "Laimosemion_dibaphus" "Rivulidae" "Cyprinodontiformes"
"17008" "Laimosemion_frenatus" "Rivulidae" "Cyprinodontiformes"
"17009" "Laimosemion_geayi" "Rivulidae" "Cyprinodontiformes"
"17010" "Laimosemion_gransabanae" "Rivulidae" "Cyprinodontiformes"
"17011" "Laimosemion_kirovskyi" "Rivulidae" "Cyprinodontiformes"
"17012" "Laimosemion_lyricauda" "Rivulidae" "Cyprinodontiformes"
"17013" "Laimosemion_mabura" "Rivulidae" "Cyprinodontiformes"
"17014" "Laimosemion_mahdiaensis" "Rivulidae" "Cyprinodontiformes"
"17015" "Laimosemion_nicoi" "Rivulidae" "Cyprinodontiformes"
"17016" "Laimosemion_paryagi" "Rivulidae" "Cyprinodontiformes"
"17017" "Laimosemion_rectocaudatus" "Rivulidae" "Cyprinodontiformes"
"17018" "Laimosemion_romeri" "Rivulidae" "Cyprinodontiformes"
"17019" "Laimosemion_sape" "Rivulidae" "Cyprinodontiformes"
"17020" "Laimosemion_staecki" "Rivulidae" "Cyprinodontiformes"
"17021" "Laimosemion_strigatus" "Rivulidae" "Cyprinodontiformes"
"17022" "Laimosemion_tecminae" "Rivulidae" "Cyprinodontiformes"
"17023" "Laimosemion_torrenticola" "Rivulidae" "Cyprinodontiformes"
"17024" "Laimosemion_uakti" "Rivulidae" "Cyprinodontiformes"
"17025" "Laimosemion_uatuman" "Rivulidae" "Cyprinodontiformes"
"17026" "Laimosemion_ubim" "Rivulidae" "Cyprinodontiformes"
"17027" "Laimosemion_xiphidius" "Rivulidae" "Cyprinodontiformes"
"17028" "Laiphognathus_longispinis" "Blenniidae" "Perciformes"
"17029" "Laiphognathus_multimaculatus" "Blenniidae" "Perciformes"
"17030" "Lalmohania_velutina" "Monacanthidae" "Tetraodontiformes"
"17035" "Lamnostoma_kampeni" "Ophichthidae" "Anguilliformes"
"17036" "Lamnostoma_mindora" "Ophichthidae" "Anguilliformes"
"17037" "Lamnostoma_orientalis" "Ophichthidae" "Anguilliformes"
"17038" "Lamnostoma_polyophthalmum" "Ophichthidae" "Anguilliformes"
"17039" "Lamnostoma_taylori" "Ophichthidae" "Anguilliformes"
"17040" "Lamontichthys_avacanoeiro" "Loricariidae" "Siluriformes"
"17041" "Lamontichthys_filamentosus" "Loricariidae" "Siluriformes"
"17042" "Lamontichthys_llanero" "Loricariidae" "Siluriformes"
"17043" "Lamontichthys_maracaibero" "Loricariidae" "Siluriformes"
"17044" "Lamontichthys_parakana" "Loricariidae" "Siluriformes"
"17045" "Lamontichthys_stibaros" "Loricariidae" "Siluriformes"
"17046" "Lampadena_anomala" "Myctophidae" "Myctophiformes"
"17047" "Lampadena_atlantica" "Myctophidae" "Myctophiformes"
"17048" "Lampadena_chavesi" "Myctophidae" "Myctophiformes"
"17049" "Lampadena_dea" "Myctophidae" "Myctophiformes"
"17050" "Lampadena_luminosa" "Myctophidae" "Myctophiformes"
"17051" "Lampadena_notialis" "Myctophidae" "Myctophiformes"
"17052" "Lampadena_pontifex" "Myctophidae" "Myctophiformes"
"17053" "Lampadena_speculigera" "Myctophidae" "Myctophiformes"
"17054" "Lampadena_urophaos" "Myctophidae" "Myctophiformes"
"17055" "Lampadena_yaquinae" "Myctophidae" "Myctophiformes"
"17056" "Lampanyctodes_hectoris" "Myctophidae" "Myctophiformes"
"17057" "Lampanyctus_acanthurus" "Myctophidae" "Myctophiformes"
"17058" "Lampanyctus_alatus" "Myctophidae" "Myctophiformes"
"17059" "Lampanyctus_australis" "Myctophidae" "Myctophiformes"
"17060" "Lampanyctus_crocodilus" "Myctophidae" "Myctophiformes"
"17061" "Lampanyctus_festivus" "Myctophidae" "Myctophiformes"
"17062" "Lampanyctus_hubbsi" "Myctophidae" "Myctophiformes"
"17063" "Lampanyctus_intricarius" "Myctophidae" "Myctophiformes"
"17064" "Lampanyctus_iselinoides" "Myctophidae" "Myctophiformes"
"17065" "Lampanyctus_jordani" "Myctophidae" "Myctophiformes"
"17066" "Lampanyctus_lepidolychnus" "Myctophidae" "Myctophiformes"
"17067" "Lampanyctus_macdonaldi" "Myctophidae" "Myctophiformes"
"17068" "Lampanyctus_macropterus" "Myctophidae" "Myctophiformes"
"17069" "Lampanyctus_nobilis" "Myctophidae" "Myctophiformes"
"17070" "Lampanyctus_omostigma" "Myctophidae" "Myctophiformes"
"17071" "Lampanyctus_parvicauda" "Myctophidae" "Myctophiformes"
"17072" "Lampanyctus_photonotus" "Myctophidae" "Myctophiformes"
"17073" "Lampanyctus_pusillus" "Myctophidae" "Myctophiformes"
"17074" "Lampanyctus_simulator" "Myctophidae" "Myctophiformes"
"17075" "Lampanyctus_steinbecki" "Myctophidae" "Myctophiformes"
"17076" "Lampanyctus_tenuiformis" "Myctophidae" "Myctophiformes"
"17077" "Lampanyctus_turneri" "Myctophidae" "Myctophiformes"
"17078" "Lampanyctus_vadulus" "Myctophidae" "Myctophiformes"
"17091" "Lampichthys_procerus" "Myctophidae" "Myctophiformes"
"17092" "Lampiella_gibbosa" "Loricariidae" "Siluriformes"
"17093" "Lamprichthys_tanganicanus" "Poeciliidae" "Cyprinodontiformes"
"17094" "Lampris_guttatus" "Lampridae" "Lampriformes"
"17095" "Lampris_immaculatus" "Lampridae" "Lampriformes"
"17096" "Lamprogrammus_brunswigi" "Ophidiidae" "Ophidiiformes"
"17097" "Lamprogrammus_exutus" "Ophidiidae" "Ophidiiformes"
"17098" "Lamprogrammus_fragilis" "Ophidiidae" "Ophidiiformes"
"17099" "Lamprogrammus_niger" "Ophidiidae" "Ophidiiformes"
"17100" "Lamprogrammus_shcherbachevi" "Ophidiidae" "Ophidiiformes"
"17101" "Lamprologus_callipterus" "Cichlidae" "Cichliformes"
"17102" "Lamprologus_congoensis" "Cichlidae" "Cichliformes"
"17103" "Lamprologus_finalimus" "Cichlidae" "Cichliformes"
"17104" "Lamprologus_kungweensis" "Cichlidae" "Cichliformes"
"17105" "Lamprologus_laparogramma" "Cichlidae" "Cichliformes"
"17106" "Lamprologus_lemairii" "Cichlidae" "Cichliformes"
"17107" "Lamprologus_lethops" "Cichlidae" "Cichliformes"
"17108" "Lamprologus_markerti" "Cichlidae" "Cichliformes"
"17109" "Lamprologus_meleagris" "Cichlidae" "Cichliformes"
"17110" "Lamprologus_mocquardi" "Cichlidae" "Cichliformes"
"17111" "Lamprologus_ocellatus" "Cichlidae" "Cichliformes"
"17112" "Lamprologus_ornatipinnis" "Cichlidae" "Cichliformes"
"17113" "Lamprologus_signatus" "Cichlidae" "Cichliformes"
"17114" "Lamprologus_speciosus" "Cichlidae" "Cichliformes"
"17115" "Lamprologus_stappersi" "Cichlidae" "Cichliformes"
"17116" "Lamprologus_symoensi" "Cichlidae" "Cichliformes"
"17117" "Lamprologus_teugelsi" "Cichlidae" "Cichliformes"
"17118" "Lamprologus_tigripictilis" "Cichlidae" "Cichliformes"
"17119" "Lamprologus_tumbanus" "Cichlidae" "Cichliformes"
"17120" "Lamprologus_werneri" "Cichlidae" "Cichliformes"
"17121" "Landonia_latidens" "Characidae" "Characiformes"
"17122" "Laocypris_hispida" "Cyprinidae" "Cypriniformes"
"17123" "Lapitaichthys_frickei" "Bythitidae" "Ophidiiformes"
"17124" "Lappanella_fasciata" "Labridae" "Labriformes"
"17125" "Lappanella_guineensis" "Labridae" "Labriformes"
"17126" "Larabicus_quadrilineatus" "Labridae" "Labriformes"
"17127" "Larimichthys_crocea" "Sciaenidae" "Incertae sedis in Eupercaria"
"17128" "Larimichthys_pamoides" "Sciaenidae" "Incertae sedis in Eupercaria"
"17129" "Larimichthys_polyactis" "Sciaenidae" "Incertae sedis in Eupercaria"
"17130" "Larimus_acclivis" "Sciaenidae" "Incertae sedis in Eupercaria"
"17131" "Larimus_argenteus" "Sciaenidae" "Incertae sedis in Eupercaria"
"17132" "Larimus_breviceps" "Sciaenidae" "Incertae sedis in Eupercaria"
"17133" "Larimus_effulgens" "Sciaenidae" "Incertae sedis in Eupercaria"
"17134" "Larimus_fasciatus" "Sciaenidae" "Incertae sedis in Eupercaria"
"17135" "Larimus_pacificus" "Sciaenidae" "Incertae sedis in Eupercaria"
"17136" "Larsonella_pumila" "Gobiidae" "Gobiiformes"
"17137" "Lasiancistrus_caucanus" "Loricariidae" "Siluriformes"
"17138" "Lasiancistrus_guacharote" "Loricariidae" "Siluriformes"
"17139" "Lasiancistrus_heteracanthus" "Loricariidae" "Siluriformes"
"17140" "Lasiancistrus_saetiger" "Loricariidae" "Siluriformes"
"17141" "Lasiancistrus_schomburgkii" "Loricariidae" "Siluriformes"
"17142" "Lasiancistrus_tentaculatus" "Loricariidae" "Siluriformes"
"17143" "Lasiognathus_amphirhamphus" "Thaumatichthyidae" "Lophiiformes"
"17144" "Lasiognathus_beebei" "Thaumatichthyidae" "Lophiiformes"
"17145" "Lasiognathus_intermedius" "Thaumatichthyidae" "Lophiiformes"
"17146" "Lasiognathus_saccostoma" "Thaumatichthyidae" "Lophiiformes"
"17147" "Lasiognathus_waltoni" "Thaumatichthyidae" "Lophiiformes"
"17148" "Lateolabrax_japonicus" "Lateolabracidae" "Pempheriformes"
"17149" "Lateolabrax_latus" "Lateolabracidae" "Pempheriformes"
"17150" "Lates_angustifrons" "Latidae" "Perciformes"
"17151" "Lates_calcarifer" "Latidae" "Perciformes"
"17152" "Lates_japonicus" "Latidae" "Perciformes"
"17153" "Lates_lakdiva" "Latidae" "Perciformes"
"17154" "Lates_longispinis" "Latidae" "Perciformes"
"17155" "Lates_macrophthalmus" "Latidae" "Perciformes"
"17156" "Lates_mariae" "Latidae" "Perciformes"
"17157" "Lates_microlepis" "Latidae" "Perciformes"
"17158" "Lates_niloticus" "Latidae" "Perciformes"
"17159" "Lates_stappersii" "Latidae" "Perciformes"
"17160" "Lates_uwisara" "Latidae" "Perciformes"
"17163" "Latridopsis_ciliaris" "Latridae" "Perciformes"
"17164" "Latridopsis_forsteri" "Latridae" "Perciformes"
"17165" "Latris_lineata" "Latridae" "Perciformes"
"17166" "Latris_pacifica" "Latridae" "Perciformes"
"17167" "Latropiscis_purpurissatus" "Aulopidae" "Aulopiformes"
"17168" "Laubuka_brahmaputraensis" "Cyprinidae" "Cypriniformes"
"17169" "Laubuka_caeruleostigmata" "Cyprinidae" "Cypriniformes"
"17170" "Laubuka_dadiburjori" "Cyprinidae" "Cypriniformes"
"17171" "Laubuka_fasciata" "Cyprinidae" "Cypriniformes"
"17172" "Laubuka_insularis" "Cyprinidae" "Cypriniformes"
"17173" "Laubuka_lankensis" "Cyprinidae" "Cypriniformes"
"17174" "Laubuka_latens" "Cyprinidae" "Cypriniformes"
"17175" "Laubuka_laubuca" "Cyprinidae" "Cypriniformes"
"17176" "Laubuka_parafasciata" "Cyprinidae" "Cypriniformes"
"17177" "Laubuka_ruhuna" "Cyprinidae" "Cypriniformes"
"17178" "Laubuka_siamensis" "Cyprinidae" "Cypriniformes"
"17179" "Laubuka_tenella" "Cyprinidae" "Cypriniformes"
"17180" "Laubuka_trevori" "Cyprinidae" "Cypriniformes"
"17181" "Laubuka_varuna" "Cyprinidae" "Cypriniformes"
"17182" "Lavinia_exilicauda" "Cyprinidae" "Cypriniformes"
"17183" "Lebetus_guilleti" "Gobiidae" "Gobiiformes"
"17184" "Lebetus_scorpioides" "Gobiidae" "Gobiiformes"
"17185" "Lebiasina_ardilai" "Lebiasinidae" "Characiformes"
"17186" "Lebiasina_bimaculata" "Lebiasinidae" "Characiformes"
"17187" "Lebiasina_chocoensis" "Lebiasinidae" "Characiformes"
"17188" "Lebiasina_chucuriensis" "Lebiasinidae" "Characiformes"
"17189" "Lebiasina_colombia" "Lebiasinidae" "Characiformes"
"17190" "Lebiasina_floridablancaensis" "Lebiasinidae" "Characiformes"
"17191" "Lebiasina_intermedia" "Lebiasinidae" "Characiformes"
"17192" "Lebiasina_marilynae" "Lebiasinidae" "Characiformes"
"17193" "Lebiasina_melanoguttata" "Lebiasinidae" "Characiformes"
"17194" "Lebiasina_minuta" "Lebiasinidae" "Characiformes"
"17195" "Lebiasina_multimaculata" "Lebiasinidae" "Characiformes"
"17196" "Lebiasina_narinensis" "Lebiasinidae" "Characiformes"
"17197" "Lebiasina_ortegai" "Lebiasinidae" "Characiformes"
"17198" "Lebiasina_provenzanoi" "Lebiasinidae" "Characiformes"
"17199" "Lebiasina_taphorni" "Lebiasinidae" "Characiformes"
"17200" "Lebiasina_uruyensis" "Lebiasinidae" "Characiformes"
"17201" "Lebiasina_yepezi" "Lebiasinidae" "Characiformes"
"17202" "Lebiasina_yuruaniensis" "Lebiasinidae" "Characiformes"
"17203" "Lecanogaster_chrysea" "Gobiesocidae" "Gobiesociformes"
"17204" "Lecanogaster_gorgoniphila" "Gobiesocidae" "Gobiesociformes"
"17205" "Lefua_costata" "Nemacheilidae" "Cypriniformes"
"17206" "Lefua_echigonia" "Nemacheilidae" "Cypriniformes"
"17207" "Lefua_nikkonis" "Nemacheilidae" "Cypriniformes"
"17208" "Lefua_pleskei" "Nemacheilidae" "Cypriniformes"
"17209" "Leiarius_arekaima" "Pimelodidae" "Siluriformes"
"17210" "Leiarius_longibarbis" "Pimelodidae" "Siluriformes"
"17211" "Leiarius_marmoratus" "Pimelodidae" "Siluriformes"
"17212" "Leiarius_pictus" "Pimelodidae" "Siluriformes"
"17213" "Leiocassis_aculeatus" "Bagridae" "Siluriformes"
"17214" "Leiocassis_brevirostris" "Bagridae" "Siluriformes"
"17215" "Leiocassis_collinus" "Bagridae" "Siluriformes"
"17216" "Leiocassis_crassirostris" "Bagridae" "Siluriformes"
"17217" "Leiocassis_doriae" "Bagridae" "Siluriformes"
"17218" "Leiocassis_hosii" "Bagridae" "Siluriformes"
"17219" "Leiocassis_longibarbus" "Bagridae" "Siluriformes"
"17220" "Leiocassis_micropogon" "Bagridae" "Siluriformes"
"17221" "Leiocassis_poecilopterus" "Bagridae" "Siluriformes"
"17222" "Leiocassis_saravacensis" "Bagridae" "Siluriformes"
"17223" "Leiocassis_tenebricus" "Bagridae" "Siluriformes"
"17224" "Leiocassis_yeni" "Bagridae" "Siluriformes"
"17225" "Leiocottus_hirundo" "Cottidae" "Perciformes"
"17226" "Leiodon_cutcutia" "Tetraodontidae" "Tetraodontiformes"
"17227" "Leiognathus_berbis" "Leiognathidae" "Chaetodontiformes"
"17228" "Leiognathus_brevirostris" "Leiognathidae" "Chaetodontiformes"
"17229" "Leiognathus_equulus" "Leiognathidae" "Chaetodontiformes"
"17230" "Leiognathus_longispinis" "Leiognathidae" "Chaetodontiformes"
"17231" "Leiognathus_oblongus" "Leiognathidae" "Chaetodontiformes"
"17232" "Leiognathus_parviceps" "Leiognathidae" "Chaetodontiformes"
"17233" "Leiognathus_robustus" "Leiognathidae" "Chaetodontiformes"
"17234" "Leiognathus_striatus" "Leiognathidae" "Chaetodontiformes"
"17235" "Leiopotherapon_aheneus" "Terapontidae" "Centrarchiformes"
"17236" "Leiopotherapon_macrolepis" "Terapontidae" "Centrarchiformes"
"17237" "Leiopotherapon_plumbeus" "Terapontidae" "Centrarchiformes"
"17238" "Leiopotherapon_unicolor" "Terapontidae" "Centrarchiformes"
"17239" "Leiostomus_xanthurus" "Sciaenidae" "Incertae sedis in Eupercaria"
"17240" "Leiuranus_semicinctus" "Ophichthidae" "Anguilliformes"
"17241" "Leiuranus_versicolor" "Ophichthidae" "Anguilliformes"
"17242" "Lentipes_adelphizonus" "Gobiidae" "Gobiiformes"
"17243" "Lentipes_andamanicus" "Gobiidae" "Gobiiformes"
"17244" "Lentipes_argenteus" "Gobiidae" "Gobiiformes"
"17245" "Lentipes_armatus" "Gobiidae" "Gobiiformes"
"17246" "Lentipes_caroline" "Gobiidae" "Gobiiformes"
"17247" "Lentipes_concolor" "Gobiidae" "Gobiiformes"
"17248" "Lentipes_crittersius" "Gobiidae" "Gobiiformes"
"17249" "Lentipes_dimetrodon" "Gobiidae" "Gobiiformes"
"17250" "Lentipes_ikeae" "Gobiidae" "Gobiiformes"
"17251" "Lentipes_kaaea" "Gobiidae" "Gobiiformes"
"17252" "Lentipes_kolobangara" "Gobiidae" "Gobiiformes"
"17253" "Lentipes_mekonggaensis" "Gobiidae" "Gobiiformes"
"17254" "Lentipes_mindanaoensis" "Gobiidae" "Gobiiformes"
"17255" "Lentipes_multiradiatus" "Gobiidae" "Gobiiformes"
"17256" "Lentipes_rubrofasciatus" "Gobiidae" "Gobiiformes"
"17257" "Lentipes_solomonensis" "Gobiidae" "Gobiiformes"
"17258" "Lentipes_venustus" "Gobiidae" "Gobiiformes"
"17259" "Lentipes_watsoni" "Gobiidae" "Gobiiformes"
"17260" "Lentipes_whittenorum" "Gobiidae" "Gobiiformes"
"17261" "Leocottus_kesslerii" "Cottocomephoridae" "Perciformes"
"17262" "Lepadichthys_akiko" "Gobiesocidae" "Gobiesociformes"
"17263" "Lepadichthys_bolini" "Gobiesocidae" "Gobiesociformes"
"17264" "Lepadichthys_caritus" "Gobiesocidae" "Gobiesociformes"
"17265" "Lepadichthys_coccinotaenia" "Gobiesocidae" "Gobiesociformes"
"17266" "Lepadichthys_ctenion" "Gobiesocidae" "Gobiesociformes"
"17267" "Lepadichthys_erythraeus" "Gobiesocidae" "Gobiesociformes"
"17268" "Lepadichthys_frenatus" "Gobiesocidae" "Gobiesociformes"
"17269" "Lepadichthys_lineatus" "Gobiesocidae" "Gobiesociformes"
"17270" "Lepadichthys_minor" "Gobiesocidae" "Gobiesociformes"
"17271" "Lepadichthys_sandaracatus" "Gobiesocidae" "Gobiesociformes"
"17272" "Lepadichthys_springeri" "Gobiesocidae" "Gobiesociformes"
"17273" "Lepadicyathus_mendeleevi" "Gobiesocidae" "Gobiesociformes"
"17274" "Lepadogaster_candolii" "Gobiesocidae" "Gobiesociformes"
"17275" "Lepadogaster_lepadogaster" "Gobiesocidae" "Gobiesociformes"
"17276" "Lepadogaster_purpurea" "Gobiesocidae" "Gobiesociformes"
"17277" "Lepidamia_kalosoma" "Apogonidae" "Kurtiformes"
"17278" "Lepidamia_multitaeniata" "Apogonidae" "Kurtiformes"
"17279" "Lepidamia_natalensis" "Apogonidae" "Kurtiformes"
"17280" "Lepidamia_omanensis" "Apogonidae" "Kurtiformes"
"17281" "Lepidammodytes_macrophthalmus" "Ammodytidae" "Perciformes"
"17282" "Lepidarchus_adonis" "Alestidae" "Characiformes"
"17283" "Lepidiolamprologus_attenuatus" "Cichlidae" "Cichliformes"
"17284" "Lepidiolamprologus_boulengeri" "Cichlidae" "Cichliformes"
"17285" "Lepidiolamprologus_cunningtoni" "Cichlidae" "Cichliformes"
"17286" "Lepidiolamprologus_elongatus" "Cichlidae" "Cichliformes"
"17287" "Lepidiolamprologus_hecqui" "Cichlidae" "Cichliformes"
"17288" "Lepidiolamprologus_kamambae" "Cichlidae" "Cichliformes"
"17289" "Lepidiolamprologus_kendalli" "Cichlidae" "Cichliformes"
"17290" "Lepidiolamprologus_meeli" "Cichlidae" "Cichliformes"
"17291" "Lepidiolamprologus_mimicus" "Cichlidae" "Cichliformes"
"17292" "Lepidiolamprologus_profundicola" "Cichlidae" "Cichliformes"
"17293" "Lepidiolamprologus_variostigma" "Cichlidae" "Cichliformes"
"17294" "Lepidion_capensis" "Moridae" "Gadiformes"
"17295" "Lepidion_ensiferus" "Moridae" "Gadiformes"
"17296" "Lepidion_eques" "Moridae" "Gadiformes"
"17297" "Lepidion_guentheri" "Moridae" "Gadiformes"
"17298" "Lepidion_inosimae" "Moridae" "Gadiformes"
"17299" "Lepidion_lepidion" "Moridae" "Gadiformes"
"17300" "Lepidion_microcephalus" "Moridae" "Gadiformes"
"17301" "Lepidion_natalensis" "Moridae" "Gadiformes"
"17302" "Lepidion_schmidti" "Moridae" "Gadiformes"
"17303" "Lepidobero_sinensis" "Cottidae" "Perciformes"
"17304" "Lepidoblennius_haplodactylus" "Tripterygiidae" "Perciformes"
"17305" "Lepidoblennius_marmoratus" "Tripterygiidae" "Perciformes"
"17306" "Lepidoblepharon_ophthalmolepis" "Citharidae" "Pleuronectiformes"
"17307" "Lepidocephalichthys_alkaia" "Cobitidae" "Cypriniformes"
"17308" "Lepidocephalichthys_annandalei" "Cobitidae" "Cypriniformes"
"17309" "Lepidocephalichthys_arunachalensis" "Cobitidae" "Cypriniformes"
"17310" "Lepidocephalichthys_barbatuloides" "Cobitidae" "Cypriniformes"
"17311" "Lepidocephalichthys_berdmorei" "Cobitidae" "Cypriniformes"
"17312" "Lepidocephalichthys_birmanicus" "Cobitidae" "Cypriniformes"
"17313" "Lepidocephalichthys_coromandelensis" "Cobitidae" "Cypriniformes"
"17314" "Lepidocephalichthys_eleios" "Cobitidae" "Cypriniformes"
"17315" "Lepidocephalichthys_furcatus" "Cobitidae" "Cypriniformes"
"17316" "Lepidocephalichthys_goalparensis" "Cobitidae" "Cypriniformes"
"17317" "Lepidocephalichthys_guntea" "Cobitidae" "Cypriniformes"
"17318" "Lepidocephalichthys_hasselti" "Cobitidae" "Cypriniformes"
"17319" "Lepidocephalichthys_irrorata" "Cobitidae" "Cypriniformes"
"17320" "Lepidocephalichthys_jonklaasi" "Cobitidae" "Cypriniformes"
"17321" "Lepidocephalichthys_kranos" "Cobitidae" "Cypriniformes"
"17322" "Lepidocephalichthys_lorentzi" "Cobitidae" "Cypriniformes"
"17323" "Lepidocephalichthys_manipurensis" "Cobitidae" "Cypriniformes"
"17324" "Lepidocephalichthys_micropogon" "Cobitidae" "Cypriniformes"
"17325" "Lepidocephalichthys_thermalis" "Cobitidae" "Cypriniformes"
"17326" "Lepidocephalichthys_tomaculum" "Cobitidae" "Cypriniformes"
"17327" "Lepidocephalichthys_zeppelini" "Cobitidae" "Cypriniformes"
"17328" "Lepidocephalus_macrochir" "Cobitidae" "Cypriniformes"
"17329" "Lepidocephalus_nanensis" "Cobitidae" "Cypriniformes"
"17330" "Lepidocephalus_spectrum" "Cobitidae" "Cypriniformes"
"17331" "Lepidocharax_burnsi" "Characidae" "Characiformes"
"17332" "Lepidocharax_diamantina" "Characidae" "Characiformes"
"17333" "Lepidocybium_flavobrunneum" "Gempylidae" "Perciformes"
"17334" "Lepidogalaxias_salamandroides" "Lepidogalaxiidae" "Osmeriformes"
"17335" "Lepidogobius_lepidus" "Gobiidae" "Gobiiformes"
"17336" "Lepidomeda_albivallis" "Cyprinidae" "Cypriniformes"
"17337" "Lepidomeda_aliciae" "Cyprinidae" "Cypriniformes"
"17338" "Lepidomeda_altivelis" "Cyprinidae" "Cypriniformes"
"17339" "Lepidomeda_copei" "Cyprinidae" "Cypriniformes"
"17340" "Lepidomeda_mollispinis" "Cyprinidae" "Cypriniformes"
"17341" "Lepidomeda_vittata" "Cyprinidae" "Cypriniformes"
"17342" "Lepidonectes_bimaculatus" "Tripterygiidae" "Perciformes"
"17343" "Lepidonectes_clarkhubbsi" "Tripterygiidae" "Perciformes"
"17344" "Lepidonectes_corallicola" "Tripterygiidae" "Perciformes"
"17345" "Lepidonotothen_squamifrons" "Nototheniidae" "Perciformes"
"17346" "Lepidoperca_aurantia" "Serranidae" "Perciformes"
"17347" "Lepidoperca_brochata" "Serranidae" "Perciformes"
"17348" "Lepidoperca_caesiopercula" "Serranidae" "Perciformes"
"17349" "Lepidoperca_coatsii" "Serranidae" "Perciformes"
"17350" "Lepidoperca_filamenta" "Serranidae" "Perciformes"
"17351" "Lepidoperca_inornata" "Serranidae" "Perciformes"
"17352" "Lepidoperca_magna" "Serranidae" "Perciformes"
"17353" "Lepidoperca_occidentalis" "Serranidae" "Perciformes"
"17354" "Lepidoperca_pulchella" "Serranidae" "Perciformes"
"17355" "Lepidoperca_tasmanica" "Serranidae" "Perciformes"
"17356" "Lepidophanes_gaussi" "Myctophidae" "Myctophiformes"
"17357" "Lepidophanes_guentheri" "Myctophidae" "Myctophiformes"
"17358" "Lepidopsetta_bilineata" "Pleuronectidae" "Pleuronectiformes"
"17359" "Lepidopsetta_mochigarei" "Pleuronectidae" "Pleuronectiformes"
"17360" "Lepidopsetta_polyxystra" "Pleuronectidae" "Pleuronectiformes"
"17361" "Lepidopus_altifrons" "Trichiuridae" "Perciformes"
"17362" "Lepidopus_calcar" "Trichiuridae" "Perciformes"
"17363" "Lepidopus_caudatus" "Trichiuridae" "Perciformes"
"17364" "Lepidopus_dubius" "Trichiuridae" "Perciformes"
"17365" "Lepidopus_fitchi" "Trichiuridae" "Perciformes"
"17366" "Lepidopus_manis" "Trichiuridae" "Perciformes"
"17367" "Lepidopygopsis_typus" "Cyprinidae" "Cypriniformes"
"17368" "Lepidorhombus_boscii" "Scophthalmidae" "Pleuronectiformes"
"17369" "Lepidorhombus_whiffiagonis" "Scophthalmidae" "Pleuronectiformes"
"17370" "Lepidorhynchus_denticulatus" "Macrouridae" "Gadiformes"
"17372" "Lepidotrigla_abyssalis" "Triglidae" "Perciformes"
"17373" "Lepidotrigla_alata" "Triglidae" "Perciformes"
"17374" "Lepidotrigla_alcocki" "Triglidae" "Perciformes"
"17375" "Lepidotrigla_annamarae" "Triglidae" "Perciformes"
"17376" "Lepidotrigla_argus" "Triglidae" "Perciformes"
"17377" "Lepidotrigla_argyrosoma" "Triglidae" "Perciformes"
"17378" "Lepidotrigla_bentuviai" "Triglidae" "Perciformes"
"17379" "Lepidotrigla_bispinosa" "Triglidae" "Perciformes"
"17380" "Lepidotrigla_brachyoptera" "Triglidae" "Perciformes"
"17381" "Lepidotrigla_cadmani" "Triglidae" "Perciformes"
"17382" "Lepidotrigla_calodactyla" "Triglidae" "Perciformes"
"17383" "Lepidotrigla_carolae" "Triglidae" "Perciformes"
"17384" "Lepidotrigla_cavillone" "Triglidae" "Perciformes"
"17385" "Lepidotrigla_deasoni" "Triglidae" "Perciformes"
"17386" "Lepidotrigla_dieuzeidei" "Triglidae" "Perciformes"
"17387" "Lepidotrigla_eydouxii" "Triglidae" "Perciformes"
"17388" "Lepidotrigla_faurei" "Triglidae" "Perciformes"
"17389" "Lepidotrigla_grandis" "Triglidae" "Perciformes"
"17390" "Lepidotrigla_guentheri" "Triglidae" "Perciformes"
"17391" "Lepidotrigla_hime" "Triglidae" "Perciformes"
"17392" "Lepidotrigla_japonica" "Triglidae" "Perciformes"
"17393" "Lepidotrigla_jimjoebob" "Triglidae" "Perciformes"
